[7823, 8211] 102
[6679, 8211] 130
[4626, 8211] 148
[7671, 8211] 114
[1592, 8211] 408
[1813, 8211] 370
[10688, 8211] 542
[8169, 8211] 454
[10635, 8211] 598
[10417, 8211] 594
[8236, 8211] 416
[6205, 8211] 468
[6686, 8211] 440
[3527, 8211] 416
[8210, 8211] 458
[16230, 8211] 492
[8643, 8211] 454
[10955, 8211] 764
[11356, 8211] 738
[12593, 8211] 718
[13107, 8211] 714
[16008, 8211] 678
[12670, 8211] 686
[11407, 8211] 738
[11087, 8211] 770
[15365, 8211] 676
[13420, 8211] 686
[14140, 8211] 544
[17207, 8211] 500
[15728, 8211] 698
[18089, 8211] 620
[17812, 8211] 552
[20006, 8211] 662
[18703, 8211] 548
[18458, 8211] 622
[19155, 8211] 660
[19039, 8211] 518
[20436, 8211] 588
[27386, 8211] 852
[21116, 8211] 704
[24352, 8211] 746
[23742, 8211] 744
[20848, 8211] 588
[23411, 8211] 746
[23994, 8211] 744
[27316, 8211] 936
[27411, 8211] 894
[27395, 8211] 898
[25182, 8211] 852
[25498, 8211] 924
[27376, 8211] 848
[24027, 8211] 796
[26039, 8211] 828
[23295, 8211] 750
[24131, 8211] 718
[20079, 8211] 544
[21061, 8211] 658
[20745, 8211] 586
[20627, 8211] 596
[21300, 8211] 664
[18954, 8211] 508
[19484, 8211] 526
[20156, 8211] 592
[28378, 8211] 956
[28619, 8211] 904
[30162, 8211] 1166
[32062, 8211] 1180
[30155, 8211] 1168
[30329, 8211] 1058
[32020, 8211] 1080
[31998, 8211] 1032
[32202, 8211] 1176
[32746, 8211] 1472
[6679, 7823] 52
[4626, 7823] 142
[7671, 7823] 108
[1592, 7823] 322
[1813, 7823] 284
[10688, 7823] 480
[8169, 7823] 392
[10635, 7823] 536
[10417, 7823] 532
[8236, 7823] 354
[6205, 7823] 382
[6686, 7823] 354
[3527, 7823] 330
[8210, 7823] 396
[16230, 7823] 430
[8643, 7823] 392
[10955, 7823] 702
[11356, 7823] 676
[12593, 7823] 656
[13107, 7823] 652
[16008, 7823] 616
[12670, 7823] 624
[11407, 7823] 676
[11087, 7823] 708
[15365, 7823] 614
[13420, 7823] 624
[14140, 7823] 482
[17207, 7823] 438
[15728, 7823] 636
[18089, 7823] 578
[17812, 7823] 490
[20006, 7823] 620
[18703, 7823] 506
[18458, 7823] 580
[19155, 7823] 614
[19039, 7823] 456
[20436, 7823] 526
[27386, 7823] 790
[21116, 7823] 642
[24352, 7823] 684
[23742, 7823] 682
[20848, 7823] 526
[23411, 7823] 684
[23994, 7823] 682
[27316, 7823] 874
[27411, 7823] 832
[27395, 7823] 836
[25182, 7823] 790
[25498, 7823] 862
[27376, 7823] 786
[24027, 7823] 734
[26039, 7823] 766
[23295, 7823] 688
[24131, 7823] 656
[20079, 7823] 482
[21061, 7823] 596
[20745, 7823] 524
[20627, 7823] 534
[21300, 7823] 602
[18954, 7823] 446
[19484, 7823] 464
[20156, 7823] 530
[28378, 7823] 894
[28619, 7823] 858
[30162, 7823] 1104
[32062, 7823] 1118
[30155, 7823] 1106
[30329, 7823] 996
[32020, 7823] 1018
[31998, 7823] 970
[32202, 7823] 1114
[32746, 7823] 1426
[4626, 6679] 142
[7671, 6679] 108
[1592, 6679] 338
[1813, 6679] 300
[10688, 6679] 508
[8169, 6679] 420
[10635, 6679] 564
[10417, 6679] 560
[8236, 6679] 382
[6205, 6679] 398
[6686, 6679] 370
[3527, 6679] 346
[8210, 6679] 424
[16230, 6679] 458
[8643, 6679] 420
[10955, 6679] 730
[11356, 6679] 704
[12593, 6679] 684
[13107, 6679] 680
[16008, 6679] 644
[12670, 6679] 652
[11407, 6679] 704
[11087, 6679] 736
[15365, 6679] 642
[13420, 6679] 652
[14140, 6679] 510
[17207, 6679] 466
[15728, 6679] 664
[18089, 6679] 606
[17812, 6679] 518
[20006, 6679] 648
[18703, 6679] 534
[18458, 6679] 608
[19155, 6679] 642
[19039, 6679] 484
[20436, 6679] 554
[27386, 6679] 818
[21116, 6679] 670
[24352, 6679] 712
[23742, 6679] 710
[20848, 6679] 554
[23411, 6679] 712
[23994, 6679] 710
[27316, 6679] 902
[27411, 6679] 860
[27395, 6679] 864
[25182, 6679] 818
[25498, 6679] 890
[27376, 6679] 814
[24027, 6679] 762
[26039, 6679] 794
[23295, 6679] 716
[24131, 6679] 684
[20079, 6679] 510
[21061, 6679] 624
[20745, 6679] 552
[20627, 6679] 562
[21300, 6679] 630
[18954, 6679] 474
[19484, 6679] 492
[20156, 6679] 558
[28378, 6679] 922
[28619, 6679] 886
[30162, 6679] 1132
[32062, 6679] 1146
[30155, 6679] 1134
[30329, 6679] 1024
[32020, 6679] 1046
[31998, 6679] 998
[32202, 6679] 1142
[32746, 6679] 1454
[7671, 4626] 106
[1592, 4626] 428
[1813, 4626] 390
[10688, 4626] 586
[8169, 4626] 498
[10635, 4626] 642
[10417, 4626] 638
[8236, 4626] 460
[6205, 4626] 488
[6686, 4626] 460
[3527, 4626] 436
[8210, 4626] 502
[16230, 4626] 536
[8643, 4626] 498
[10955, 4626] 808
[11356, 4626] 782
[12593, 4626] 762
[13107, 4626] 758
[16008, 4626] 722
[12670, 4626] 730
[11407, 4626] 782
[11087, 4626] 814
[15365, 4626] 720
[13420, 4626] 730
[14140, 4626] 588
[17207, 4626] 544
[15728, 4626] 742
[18089, 4626] 664
[17812, 4626] 596
[20006, 4626] 706
[18703, 4626] 592
[18458, 4626] 666
[19155, 4626] 704
[19039, 4626] 562
[20436, 4626] 632
[27386, 4626] 896
[21116, 4626] 748
[24352, 4626] 790
[23742, 4626] 788
[20848, 4626] 632
[23411, 4626] 790
[23994, 4626] 788
[27316, 4626] 980
[27411, 4626] 938
[27395, 4626] 942
[25182, 4626] 896
[25498, 4626] 968
[27376, 4626] 892
[24027, 4626] 840
[26039, 4626] 872
[23295, 4626] 794
[24131, 4626] 762
[20079, 4626] 588
[21061, 4626] 702
[20745, 4626] 630
[20627, 4626] 640
[21300, 4626] 708
[18954, 4626] 552
[19484, 4626] 570
[20156, 4626] 636
[28378, 4626] 1000
[28619, 4626] 948
[30162, 4626] 1210
[32062, 4626] 1224
[30155, 4626] 1212
[30329, 4626] 1102
[32020, 4626] 1124
[31998, 4626] 1076
[32202, 4626] 1220
[32746, 4626] 1516
[1592, 7671] 394
[1813, 7671] 356
[10688, 7671] 552
[8169, 7671] 464
[10635, 7671] 608
[10417, 7671] 604
[8236, 7671] 426
[6205, 7671] 454
[6686, 7671] 426
[3527, 7671] 402
[8210, 7671] 468
[16230, 7671] 502
[8643, 7671] 464
[10955, 7671] 774
[11356, 7671] 748
[12593, 7671] 728
[13107, 7671] 724
[16008, 7671] 688
[12670, 7671] 696
[11407, 7671] 748
[11087, 7671] 780
[15365, 7671] 686
[13420, 7671] 696
[14140, 7671] 554
[17207, 7671] 510
[15728, 7671] 708
[18089, 7671] 630
[17812, 7671] 562
[20006, 7671] 672
[18703, 7671] 558
[18458, 7671] 632
[19155, 7671] 670
[19039, 7671] 528
[20436, 7671] 598
[27386, 7671] 862
[21116, 7671] 714
[24352, 7671] 756
[23742, 7671] 754
[20848, 7671] 598
[23411, 7671] 756
[23994, 7671] 754
[27316, 7671] 946
[27411, 7671] 904
[27395, 7671] 908
[25182, 7671] 862
[25498, 7671] 934
[27376, 7671] 858
[24027, 7671] 806
[26039, 7671] 838
[23295, 7671] 760
[24131, 7671] 728
[20079, 7671] 554
[21061, 7671] 668
[20745, 7671] 596
[20627, 7671] 606
[21300, 7671] 674
[18954, 7671] 518
[19484, 7671] 536
[20156, 7671] 602
[28378, 7671] 966
[28619, 7671] 914
[30162, 7671] 1176
[32062, 7671] 1190
[30155, 7671] 1178
[30329, 7671] 1068
[32020, 7671] 1090
[31998, 7671] 1042
[32202, 7671] 1186
[32746, 7671] 1482
[1813, 1592] 54
[10688, 1592] 368
[8169, 1592] 256
[10635, 1592] 472
[10417, 1592] 468
[8236, 1592] 278
[6205, 1592] 178
[6686, 1592] 166
[3527, 1592] 92
[8210, 1592] 264
[16230, 1592] 462
[8643, 1592] 280
[10955, 1592] 730
[11356, 1592] 704
[12593, 1592] 684
[13107, 1592] 680
[16008, 1592] 644
[12670, 1592] 652
[11407, 1592] 704
[11087, 1592] 736
[15365, 1592] 642
[13420, 1592] 652
[14140, 1592] 510
[17207, 1592] 470
[15728, 1592] 664
[18089, 1592] 874
[17812, 1592] 774
[20006, 1592] 908
[18703, 1592] 794
[18458, 1592] 876
[19155, 1592] 898
[19039, 1592] 576
[20436, 1592] 810
[27386, 1592] 946
[21116, 1592] 926
[24352, 1592] 968
[23742, 1592] 966
[20848, 1592] 606
