[7823, 8211] 102
[6679, 8211] 130
[4626, 8211] 148
[7671, 8211] 114
[1592, 8211] 408
[1813, 8211] 370
[8169, 8211] 454
[10635, 8211] 598
[8236, 8211] 416
[6205, 8211] 468
[6686, 8211] 440
[8643, 8211] 454
[11087, 8211] 770
[14140, 8211] 544
[15728, 8211] 698
[18089, 8211] 620
[24352, 8211] 746
[23742, 8211] 744
[23411, 8211] 746
[24027, 8211] 796
[23295, 8211] 750
[28619, 8211] 904
[32746, 8211] 1472
[6679, 7823] 52
[4626, 7823] 142
[7671, 7823] 108
[1592, 7823] 322
[1813, 7823] 284
[8169, 7823] 392
[10635, 7823] 536
[8236, 7823] 354
[6205, 7823] 382
[6686, 7823] 354
[8643, 7823] 392
[11087, 7823] 708
[14140, 7823] 482
[15728, 7823] 636
[18089, 7823] 578
[24352, 7823] 684
[23742, 7823] 682
[23411, 7823] 684
[24027, 7823] 734
[23295, 7823] 688
[28619, 7823] 858
[32746, 7823] 1426
[4626, 6679] 142
[7671, 6679] 108
[1592, 6679] 338
[1813, 6679] 300
[8169, 6679] 420
[10635, 6679] 564
[8236, 6679] 382
[6205, 6679] 398
[6686, 6679] 370
[8643, 6679] 420
[11087, 6679] 736
[14140, 6679] 510
[15728, 6679] 664
[18089, 6679] 606
[24352, 6679] 712
[23742, 6679] 710
[23411, 6679] 712
[24027, 6679] 762
[23295, 6679] 716
[28619, 6679] 886
[32746, 6679] 1454
[7671, 4626] 106
[1592, 4626] 428
[1813, 4626] 390
[8169, 4626] 498
[10635, 4626] 642
[8236, 4626] 460
[6205, 4626] 488
[6686, 4626] 460
[8643, 4626] 498
[11087, 4626] 814
[14140, 4626] 588
[15728, 4626] 742
[18089, 4626] 664
[24352, 4626] 790
[23742, 4626] 788
[23411, 4626] 790
[24027, 4626] 840
[23295, 4626] 794
[28619, 4626] 948
[32746, 4626] 1516
[1592, 7671] 394
[1813, 7671] 356
[8169, 7671] 464
[10635, 7671] 608
[8236, 7671] 426
[6205, 7671] 454
[6686, 7671] 426
[8643, 7671] 464
[11087, 7671] 780
[14140, 7671] 554
[15728, 7671] 708
[18089, 7671] 630
[24352, 7671] 756
[23742, 7671] 754
[23411, 7671] 756
[24027, 7671] 806
[23295, 7671] 760
[28619, 7671] 914
[32746, 7671] 1482
[1813, 1592] 54
[8169, 1592] 256
[10635, 1592] 472
[8236, 1592] 278
[6205, 1592] 178
[6686, 1592] 166
[8643, 1592] 280
[11087, 1592] 736
[14140, 1592] 510
[15728, 1592] 664
[18089, 1592] 874
[24352, 1592] 968
[23742, 1592] 966
[23411, 1592] 732
[24027, 1592] 882
[23295, 1592] 836
[28619, 1592] 1142
[32746, 1592] 1710
[8169, 1813] 258
[10635, 1813] 474
[8236, 1813] 280
[6205, 1813] 180
[6686, 1813] 152
[8643, 1813] 282
[11087, 1813] 738
[14140, 1813] 512
[15728, 1813] 666
[18089, 1813] 846
[24352, 1813] 952
[23742, 1813] 950
[23411, 1813] 734
[24027, 1813] 884
[23295, 1813] 838
[28619, 1813] 1126
[32746, 1813] 1694
[10635, 8169] 252
[8236, 8169] 70
[6205, 8169] 122
[6686, 8169] 130
[8643, 8169] 60
[11087, 8169] 516
[14140, 8169] 290
[15728, 8169] 444
[18089, 8169] 666
[24352, 8169] 756
[23742, 8169] 754
[23411, 8169] 512
[24027, 8169] 662
[23295, 8169] 616
[28619, 8169] 930
[32746, 8169] 1498
[8236, 10635] 262
[6205, 10635] 338
[6686, 10635] 346
[8643, 10635] 232
[11087, 10635] 444
[14140, 10635] 218
[15728, 10635] 372
[18089, 10635] 690
[24352, 10635] 684
[23742, 10635] 682
[23411, 10635] 440
[24027, 10635] 590
[23295, 10635] 544
[28619, 10635] 858
[32746, 10635] 1426
[6205, 8236] 144
[6686, 8236] 152
[8643, 8236] 70
[11087, 8236] 526
[14140, 8236] 300
[15728, 8236] 454
[18089, 8236] 628
[24352, 8236] 722
[23742, 8236] 720
[23411, 8236] 522
[24027, 8236] 672
[23295, 8236] 626
[28619, 8236] 896
[32746, 8236] 1464
[6686, 6205] 52
[8643, 6205] 146
[11087, 6205] 602
[14140, 6205] 376
[15728, 6205] 530
[18089, 6205] 740
[24352, 6205] 834
[23742, 6205] 832
[23411, 6205] 598
[24027, 6205] 748
[23295, 6205] 702
[28619, 6205] 1008
[32746, 6205] 1576
[8643, 6686] 154
[11087, 6686] 610
[14140, 6686] 384
[15728, 6686] 538
[18089, 6686] 748
[24352, 6686] 842
[23742, 6686] 840
[23411, 6686] 606
[24027, 6686] 756
[23295, 6686] 710
[28619, 6686] 1016
[32746, 6686] 1584
[11087, 8643] 496
[14140, 8643] 270
[15728, 8643] 424
[18089, 8643] 666
[24352, 8643] 736
[23742, 8643] 734
[23411, 8643] 492
[24027, 8643] 642
[23295, 8643] 596
[28619, 8643] 910
[32746, 8643] 1478
[14140, 11087] 238
[15728, 11087] 140
[18089, 11087] 850
[24352, 11087] 844
[23742, 11087] 842
[23411, 11087] 600
[24027, 11087] 750
[23295, 11087] 704
[28619, 11087] 1018
[32746, 11087] 1586
[15728, 14140] 166
[18089, 14140] 624
[24352, 14140] 618
[23742, 14140] 616
[23411, 14140] 374
[24027, 14140] 524
[23295, 14140] 478
[28619, 14140] 792
[32746, 14140] 1360
[18089, 15728] 778
[24352, 15728] 772
[23742, 15728] 770
[23411, 15728] 528
[24027, 15728] 678
[23295, 15728] 632
[28619, 15728] 946
[32746, 15728] 1514
[24352, 18089] 238
[23742, 18089] 236
[23411, 18089] 798
[24027, 18089] 488
[23295, 18089] 442
[28619, 18089] 384
[32746, 18089] 952
[23742, 24352] 18
[23411, 24352] 736
[24027, 24352] 422
[23295, 24352] 376
[28619, 24352] 198
[32746, 24352] 866
[23411, 23742] 734
[24027, 23742] 420
[23295, 23742] 374
[28619, 23742] 200
[32746, 23742] 868
[24027, 23411] 598
[23295, 23411] 552
[28619, 23411] 902
[32746, 23411] 1482
[23295, 24027] 78
[28619, 24027] 480
[32746, 24027] 1168
[28619, 23295] 490
[32746, 23295] 1122
[32746, 28619] 976
