set T := 0 1 2;
set S := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

param M1 := 1000000;
param M2 := 1000000;
param Tnum := 2;

param c: 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 :=
0        1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
1        0  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2        0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
;

param ps :=
0 0
1 0
2 0
3 0
4 0
5 1
6 1
7 1
8 1
9 2
10 2
11 2
12 2
13 3
14 3
15 3
16 3
17 4
18 4
19 4
20 4
;

param price :=
0 9.00
1 10.00
2 11.00
;

param prod: 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 :=
0           1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
1           0  0.546751  0.396849  0.05229  0.004111  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2           0  0  0  0  0  0.453933 0.091905 0.000913 0.0 0.092362 0.285535 0.018609 0.000343 0.000343 0.019180 0.030940 0.001827 0.0 0.000343 0.001827 0.001941
;

param v: 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20:=
0        0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
1        0  103.25 1533.245 8260.56 13661.13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2        0  0  0  0  0 103.25 1533.245 8260.56 13661.13 103.25 1533.245 8260.56 13661.13 103.25 1533.245 8260.56 13661.13 103.25 1533.245 8260.56 13661.13
;

param C := 0.0;

param cpd := 31500;

param allow_prod_1 :=
0 0.6
1 0.6
2 0.6
;

param allow_prod_2 :=
0 0.6
1 0.6
2 0.6
;

param allow_v := 100000;
